activity_type,begintimestamp,duration,startLatitude,startLongitude,endtimestamp,Date
running,2023-07-25 18:05:28.000,00:48:47,44.73022660240531,-1.2170435395091772,2023-07-25 18:54:15,2023-07-25
cycling,2023-07-22 18:16:10.000,01:30:53,46.524161668494344,6.648134328424931,2023-07-22 19:47:03,2023-07-22
running,2023-07-20 20:40:07.000,00:32:39,46.52414230629802,6.649546595290303,2023-07-20 21:12:46,2023-07-20
indoor_cycling,2023-07-19 17:44:28.000,00:30:14,,,2023-07-19 18:14:42,2023-07-19
strength_training,2023-07-19 16:53:51.000,00:46:23,,,2023-07-19 17:40:14,2023-07-19
open_water_swimming,2023-07-17 17:19:46.000,00:08:13,46.5040547400713,6.666930578649044,2023-07-17 17:27:59,2023-07-17
cycling,2023-07-16 15:25:25.000,03:51:39,46.52406242676079,6.648813933134079,2023-07-16 19:17:04,2023-07-16
running,2023-07-15 19:21:53.000,00:26:06,46.52414046227932,6.648618383333087,2023-07-15 19:47:59,2023-07-15
cycling,2023-07-14 19:48:23.000,00:52:10,46.5245143789798,6.647890666499734,2023-07-14 20:40:33,2023-07-14
hiking,2023-07-13 10:48:59.000,03:16:56,46.34948926046491,8.787835473194718,2023-07-13 14:05:55,2023-07-13
running,2023-07-11 17:22:43.000,00:29:02,46.155383326113224,8.768677292391658,2023-07-11 17:51:45,2023-07-11
cycling,2023-07-09 11:04:48.000,03:17:46,46.155760092660785,8.770850384607911,2023-07-09 14:22:34,2023-07-09
running,2023-07-07 19:03:28.000,00:24:30,46.15534602664411,8.768705958500504,2023-07-07 19:27:58,2023-07-07
cycling,2023-07-04 19:50:29.000,00:16:29,46.509975884109735,6.651076208800077,2023-07-04 20:06:58,2023-07-04
open_water_swimming,2023-07-04 18:44:34.000,00:28:09,46.50545250624418,6.6473291628062725,2023-07-04 19:12:43,2023-07-04
